W8,NightmareWGovt_1,NightmareWGovt_2,NightmareWGovt_3,NightmareWGovt_5,NightmareWGovt_6,NightmareWGovt_7,NightmareWGovt_8,NightmareWGovt_9,NightmareWGovt_10,StopReform
.521576953,No,Yes,Yes,Yes,,No,No,No,No,
1.346794314,,Yes,No,Yes,,No,No,No,No,
.68803019,No,Yes,No,No,No,No,No,No,No,
.618358987,,Yes,No,No,,Yes,No,No,No,
1.2706016,No,No,No,,Yes,No,No,No,No,Plaid Cymru
.460676254,Yes,No,,,Yes,No,No,No,No,Plaid Cymru
.837199866,Yes,Yes,Yes,Yes,No,No,No,No,No,
1.91584565,No,Yes,Yes,Yes,No,Yes,No,No,No,
.619122598,,Yes,Yes,Yes,,Yes,No,No,No,
1.003927986,No,Yes,No,Yes,,No,No,No,No,
3.006000464,Yes,Yes,No,,Yes,No,No,No,No,Plaid Cymru
.475347366,Yes,Yes,,,Yes,,No,No,No,Plaid Cymru
.9079533279999999,,Yes,No,Yes,No,Yes,No,No,No,
.830281095,No,,No,,Yes,No,No,No,No,Plaid Cymru
.713689275,No,Yes,No,Yes,,No,No,No,No,
1.159633834,,No,No,Yes,Yes,No,No,No,No,Conservatives
1.585251645,,Yes,,Yes,Yes,Yes,No,No,No,Conservatives
.38010444,No,No,Yes,No,No,Yes,No,No,No,
1.827189969,No,No,No,No,No,No,No,No,Yes,
.71944531,,,No,Yes,,Yes,No,No,No,
1.232010419,Yes,Yes,Yes,,Yes,No,No,No,No,Plaid Cymru
.839854587,,Yes,Yes,Yes,No,Yes,No,No,No,
1.035361045,,Yes,Yes,Yes,No,Yes,No,No,No,
.639593726,Yes,,No,,Yes,,No,No,No,Plaid Cymru
1.007898117,No,No,No,No,Yes,No,No,No,No,Don't know
.690197745,Yes,No,,,Yes,No,No,No,No,Plaid Cymru
1.516011759,,Yes,No,Yes,,Yes,No,No,No,
1.10443711,No,No,No,No,No,No,No,No,Yes,
1.155118119,,Yes,No,No,,No,No,No,No,
.387063181,No,,,No,Yes,No,No,No,No,Plaid Cymru
.492899578,Yes,Yes,Yes,Yes,,Yes,No,No,No,
1.216630726,,No,No,No,No,No,No,Yes,No,
.64398539,No,No,No,Yes,,No,No,No,No,
.933768121,Yes,No,No,No,,Yes,No,No,No,
.933768121,Yes,,No,Yes,Yes,,No,No,No,Liberal Democrats
.9178042830000001,No,No,No,No,No,No,No,No,Yes,
.593468505,Yes,,No,No,Yes,No,No,No,No,Conservatives
.319437678,Yes,No,,,Yes,,No,No,No,Plaid Cymru
.894623528,,Yes,No,No,No,No,No,No,No,
1.307073035,No,Yes,Yes,Yes,,Yes,No,No,No,
1.339084497,No,Yes,Yes,Yes,,Yes,No,No,No,
.473112001,No,No,No,No,No,No,No,No,Yes,
.72501081,Yes,No,,,Yes,,No,No,No,Plaid Cymru
.317112952,Yes,,No,No,No,No,No,No,No,
.774655611,No,No,No,No,Yes,No,No,No,No,Plaid Cymru
1.677703496,,Yes,No,No,Yes,No,No,No,No,Conservatives
.790274994,,Yes,No,No,No,No,No,No,No,
.574353619,No,Yes,Yes,Yes,,Yes,No,No,No,
.912038577,Yes,No,No,,Yes,,No,No,No,Plaid Cymru
.498672669,No,No,No,No,No,,No,No,Yes,
.571753881,,Yes,No,Yes,,No,No,No,No,
.943811562,,Yes,No,Yes,No,Yes,No,No,No,
1.222089774,Yes,Yes,No,Yes,No,No,No,No,No,
.927261921,No,No,No,Yes,Yes,No,No,No,No,Labour
.393968738,,Yes,,No,Yes,No,No,No,No,Don't know
.74562914,Yes,,No,,Yes,,No,No,No,Plaid Cymru
1.765837122,No,No,No,No,Yes,Yes,No,No,No,Don't know
1.032583264,Yes,No,No,,No,No,No,No,No,
.515974676,No,Yes,Yes,Yes,,Yes,No,No,No,
.596052867,No,,No,No,Yes,No,No,No,No,Plaid Cymru
.500084321,No,Yes,No,,No,No,No,No,No,
.722716595,No,No,No,Yes,,No,No,No,No,
.346432112,No,No,No,No,,Yes,No,No,No,
.546955424,,Yes,,Yes,,,No,No,No,
.651236574,No,Yes,Yes,Yes,No,Yes,No,No,No,
.563901295,Yes,,No,,Yes,,No,No,No,Plaid Cymru
.642818411,No,,No,No,Yes,No,No,No,No,Labour
1.270065471,No,,No,Yes,Yes,No,No,No,No,Labour
.892244499,No,No,,No,Yes,No,No,No,No,Plaid Cymru
.550191576,No,Yes,No,No,,No,No,No,No,
.830970553,,Yes,Yes,No,Yes,Yes,No,No,No,Don't know
1.492786791,Yes,No,No,,Yes,No,No,No,No,Plaid Cymru
.798722287,,Yes,Yes,Yes,,No,No,No,No,
1.215727771,Yes,No,No,,No,No,No,No,No,
.815923559,Yes,Yes,No,,Yes,Yes,No,No,No,Don't know
.881489606,No,Yes,No,Yes,,Yes,No,No,No,
.656459268,Yes,Yes,No,,Yes,,No,No,No,Plaid Cymru
.659402852,,Yes,No,No,Yes,No,No,No,No,Plaid Cymru
.705371497,,Yes,Yes,Yes,,Yes,No,No,No,
.310436157,Yes,No,No,,No,No,No,No,No,
.693691458,No,Yes,No,No,,No,No,No,No,
.660232513,Yes,,Yes,,Yes,No,No,No,No,Plaid Cymru
.705371497,No,Yes,No,No,,No,No,No,No,
3.298464229,No,No,No,No,Yes,No,No,No,No,Don't know
1.173269923,Yes,Yes,Yes,No,,No,Yes,No,No,
.69328459,No,No,No,No,Yes,No,No,No,No,Don't know
.533780534,,Yes,No,Yes,Yes,Yes,No,No,No,Conservatives
.687681352,No,No,,No,Yes,No,No,No,No,Don't know
.740413405,No,Yes,No,No,,No,No,No,No,
.767411223,No,No,No,No,Yes,No,No,No,No,Don't know
.574300578,No,Yes,No,,Yes,No,No,No,No,Don't know
.599013087,Yes,Yes,Yes,Yes,,Yes,No,No,No,
.613654368,No,No,No,Yes,,No,No,No,No,
.753219475,No,No,No,No,Yes,No,No,No,No,Don't know
1.663644564,No,No,No,,Yes,,No,No,No,Plaid Cymru
.656628403,No,No,No,Yes,,No,No,No,No,
.9928098950000001,,Yes,Yes,Yes,,Yes,No,No,No,
1.144942343,Yes,Yes,No,,,No,No,No,No,
.7652301929999999,No,No,No,No,Yes,Yes,No,No,No,Plaid Cymru
.799197406,No,Yes,No,Yes,No,No,No,No,No,
.567263338,No,No,No,Yes,,No,No,No,No,
.747463846,,Yes,Yes,Yes,,Yes,No,No,No,
1.232679946,,Yes,No,Yes,,Yes,No,No,No,
.609505351,Yes,,,,Yes,No,No,No,No,Plaid Cymru
.617604845,Yes,No,,,Yes,,No,No,No,Plaid Cymru
1.8229556,No,No,No,Yes,No,No,No,No,No,
.860400422,Yes,,No,No,Yes,No,No,No,No,Labour
1.232010419,,Yes,Yes,Yes,,Yes,No,No,No,
.724650227,,No,No,Yes,No,No,No,No,No,
.981747124,No,No,No,No,No,No,No,No,Yes,
.84906296,Yes,No,,,,No,No,No,No,
2.741788336,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Don't know
.820145695,No,,No,No,Yes,No,No,No,No,Labour
.6467967100000001,,Yes,No,No,,,No,No,No,
.848917294,,Yes,No,Yes,No,No,No,No,No,
.765444909,No,,No,,Yes,No,No,No,No,Plaid Cymru
1.418217818,No,Yes,Yes,Yes,,No,No,No,No,
.928646038,No,No,,,Yes,No,No,No,No,Plaid Cymru
.655028834,Yes,No,No,,Yes,No,No,No,No,Plaid Cymru
.962326665,,Yes,Yes,Yes,,Yes,No,No,No,
2.362649777,,Yes,,Yes,,Yes,No,No,No,
.882290728,No,No,No,No,No,No,No,Yes,No,
.349832274,No,,,Yes,Yes,No,No,No,No,Plaid Cymru
.735462806,,No,No,No,Yes,No,No,No,No,Plaid Cymru
1.027403331,Yes,,No,No,No,No,No,No,No,
1.605126369,Yes,Yes,Yes,,Yes,Yes,No,No,No,Plaid Cymru
.641495731,No,No,No,No,No,No,No,No,Yes,
.5111390179999999,No,No,No,No,No,No,No,No,Yes,
.464693563,No,Yes,Yes,No,,No,No,No,No,
.499612655,No,No,Yes,No,No,Yes,No,No,No,
.622582226,No,Yes,No,No,,No,No,No,No,
1.01662648,Yes,,No,,Yes,No,No,No,No,Plaid Cymru
.638422548,Yes,No,No,No,No,No,No,No,No,
1.492709496,,No,No,Yes,Yes,Yes,No,No,No,Labour
1.268105188,No,No,No,No,No,No,No,No,Yes,
1.963683884,Yes,Yes,Yes,Yes,,No,No,No,No,
.932029974,,No,Yes,Yes,No,Yes,No,No,No,
1.271261757,Yes,,No,,Yes,,No,No,No,Plaid Cymru
.594139499,Yes,,Yes,Yes,Yes,Yes,No,No,No,Labour
.817927073,Yes,,No,,Yes,,No,No,No,Plaid Cymru
.961847396,No,No,No,No,No,No,No,No,Yes,
1.458156071,Yes,Yes,No,No,,No,No,No,No,
.538553406,No,No,No,No,No,No,Yes,No,No,
.240122283,Yes,,No,,Yes,No,No,No,No,Plaid Cymru
.88964232,Yes,Yes,Yes,No,,Yes,No,No,No,
.632608388,No,,,,Yes,No,No,No,No,Don't know
1.002888919,Yes,No,No,,Yes,No,No,No,No,Don't know
1.346637899,,Yes,No,,,No,No,No,No,
.416285482,No,No,,,Yes,No,No,No,No,Plaid Cymru
1.962878119,Yes,Yes,,,Yes,,No,No,No,Plaid Cymru
.474418989,,Yes,Yes,Yes,,Yes,No,No,No,
1.289545141,Yes,Yes,,,No,No,No,No,No,
.931590036,Yes,No,No,No,Yes,,No,No,No,Plaid Cymru
1.12970913,Yes,No,No,No,Yes,,No,No,No,None of these
.582298804,Yes,No,No,,Yes,No,No,No,No,Plaid Cymru
1.073370892,,Yes,Yes,Yes,,Yes,No,No,No,
1.014734098,No,Yes,No,No,,No,No,No,No,
.635240649,Yes,No,,,Yes,,No,No,No,Plaid Cymru
.5551764890000001,Yes,No,No,,Yes,No,No,No,No,Plaid Cymru
.737433288,No,No,No,No,No,No,No,Yes,No,
.557892952,,Yes,No,Yes,,No,No,No,No,
.575434115,Yes,No,No,,Yes,No,No,No,No,Labour
.602842002,Yes,Yes,No,,Yes,No,No,No,No,Labour
1.241546703,No,No,No,No,,,No,Yes,No,
.860253982,No,Yes,Yes,,,Yes,No,No,No,
.4009602,Yes,No,,,Yes,No,No,No,No,Plaid Cymru
.438533777,Yes,,No,Yes,Yes,No,No,No,No,Labour
.530797094,Yes,No,,,Yes,,No,No,No,Plaid Cymru
.375514043,No,No,No,,Yes,No,No,No,No,Plaid Cymru
.396170217,No,,,Yes,Yes,No,No,No,No,Don't know
.502377263,Yes,Yes,Yes,,Yes,,No,No,No,Plaid Cymru
1.233783598,Yes,,,,Yes,No,No,No,No,Plaid Cymru
.804608297,,Yes,No,,No,Yes,No,No,No,
1.079443112,No,No,Yes,No,No,Yes,No,No,No,
.986336672,No,No,No,No,No,No,No,No,Yes,
1.214269117,No,No,No,No,No,No,No,No,Yes,
.98589268,No,No,No,No,No,No,No,No,Yes,
.621754069,No,,No,No,Yes,No,No,No,No,Labour
.328024155,No,No,No,Yes,No,No,No,No,No,
.894162388,Yes,Yes,Yes,Yes,,Yes,No,No,No,
.63915844,No,Yes,Yes,Yes,,Yes,No,No,No,
